iter	Passed	Remaining
0	5	5950
1	12	6034
2	17	5874
3	23	5881
4	29	5812
5	35	5878
6	40	5809
7	46	5734
8	53	5845
9	60	5945
10	66	5958
11	72	5956
12	78	5933
13	84	5969
14	90	5953
15	96	5933
16	102	5931
17	109	5992
18	117	6049
19	123	6047
20	130	6064
21	136	6067
22	142	6067
23	148	6053
24	154	6035
25	160	6002
26	166	5988
27	172	5983
28	178	5964
29	183	5943
30	190	5952
31	194	5896
32	201	5889
33	207	5894
34	212	5852
35	219	5886
36	225	5880
37	231	5866
38	237	5847
39	242	5812
40	247	5793
41	253	5786
42	260	5788
43	266	5798
44	274	5816
45	280	5826
46	287	5832
47	294	5834
48	300	5823
49	305	5807
50	311	5787
51	318	5808
52	324	5796
53	331	5800
54	336	5780
55	343	5782
56	349	5777
57	355	5768
58	361	5763
59	367	5751
60	373	5747
61	378	5729
62	383	5710
63	391	5729
64	400	5757
65	407	5765
66	414	5768
67	422	5788
68	428	5788
69	434	5777
70	440	5759
71	446	5748
72	452	5743
73	458	5733
74	464	5732
75	470	5721
76	476	5716
77	482	5707
78	489	5702
79	497	5718
80	504	5723
81	510	5718
82	518	5726
83	524	5715
84	532	5732
85	539	5738
86	548	5752
87	556	5769
88	564	5781
89	574	5805
90	580	5799
91	587	5802
92	596	5816
93	606	5840
94	612	5832
95	620	5838
96	627	5841
97	634	5839
98	642	5849
99	654	5888
100	663	5907
101	671	5915
102	680	5923
103	687	5925
104	698	5954
105	708	5971
106	715	5974
107	724	5981
108	730	5971
109	739	5979
110	746	5979
111	754	5981
112	761	5976
113	769	5982
114	776	5978
115	784	5978
116	793	5989
117	800	5980
118	807	5978
119	816	5990
120	823	5984
121	831	5987
122	839	5985
123	846	5983
124	853	5974
125	861	5974
126	869	5977
127	876	5973
128	883	5966
129	890	5961
130	898	5962
131	905	5952
132	912	5946
133	918	5935
134	927	5941
135	934	5939
136	943	5940
137	950	5935
138	957	5930
139	964	5923
140	971	5916
141	978	5914
142	987	5917
143	995	5917
144	1003	5918
145	1010	5913
146	1018	5910
147	1025	5905
148	1034	5905
149	1041	5902
150	1049	5898
151	1056	5894
152	1062	5883
153	1069	5873
154	1076	5866
155	1082	5855
156	1088	5846
157	1096	5844
158	1102	5832
159	1109	5824
160	1115	5814
161	1122	5804
162	1130	5803
163	1137	5798
164	1144	5789
165	1151	5786
166	1158	5778
167	1164	5768
168	1172	5767
169	1179	5758
170	1185	5746
171	1192	5740
172	1198	5730
173	1206	5725
174	1211	5713
175	1218	5706
176	1225	5700
177	1233	5698
178	1241	5694
179	1249	5692
180	1260	5701
181	1267	5696
182	1276	5698
183	1283	5692
184	1290	5684
185	1297	5676
186	1303	5666
187	1310	5658
188	1315	5646
189	1322	5637
190	1328	5628
191	1336	5625
192	1342	5614
193	1348	5603
194	1357	5602
195	1364	5597
196	1372	5593
197	1378	5585
198	1385	5575
199	1392	5570
200	1398	5561
201	1405	5550
202	1412	5544
203	1419	5537
204	1426	5533
205	1434	5529
206	1440	5518
207	1446	5508
208	1454	5504
209	1461	5499
210	1468	5492
211	1475	5484
212	1482	5477
213	1490	5475
214	1497	5467
215	1504	5459
216	1510	5450
217	1517	5444
218	1523	5434
219	1530	5426
220	1537	5419
221	1544	5413
222	1552	5410
223	1559	5402
224	1566	5396
225	1574	5390
226	1581	5385
227	1589	5382
228	1597	5377
229	1603	5368
230	1610	5361
231	1618	5356
232	1625	5350
233	1632	5344
234	1639	5337
235	1646	5330
236	1654	5327
237	1662	5321
238	1668	5312
239	1675	5305
240	1682	5298
241	1689	5290
242	1694	5277
243	1699	5266
244	1706	5260
245	1712	5249
246	1718	5238
247	1723	5227
248	1732	5223
249	1738	5216
250	1746	5210
251	1753	5205
252	1760	5197
253	1766	5187
254	1773	5180
255	1780	5174
256	1786	5164
257	1792	5156
258	1800	5149
259	1807	5143
260	1815	5139
261	1820	5128
262	1828	5122
263	1834	5114
264	1841	5107
265	1848	5101
266	1855	5094
267	1861	5084
268	1868	5077
269	1875	5071
270	1883	5065
271	1890	5060
272	1896	5051
273	1903	5044
274	1910	5035
275	1916	5027
276	1922	5017
277	1927	5006
278	1933	4996
279	1939	4987
280	1946	4980
281	1953	4974
282	1961	4969
283	1967	4961
284	1975	4956
285	1982	4949
286	1989	4943
287	1995	4934
288	2002	4925
289	2008	4918
290	2013	4906
291	2019	4897
292	2027	4891
293	2034	4884
294	2039	4875
295	2045	4864
296	2051	4856
297	2058	4848
298	2063	4837
299	2069	4828
300	2074	4818
301	2080	4809
302	2087	4802
303	2093	4792
304	2100	4785
305	2105	4776
306	2111	4766
307	2118	4759
308	2125	4753
309	2132	4747
310	2139	4739
311	2146	4732
312	2152	4723
313	2157	4713
314	2163	4704
315	2169	4695
316	2175	4687
317	2180	4675
318	2186	4667
319	2192	4659
320	2198	4650
321	2204	4641
322	2211	4634
323	2217	4626
324	2223	4617
325	2229	4610
326	2237	4605
327	2244	4598
328	2250	4589
329	2256	4580
330	2262	4572
331	2267	4562
332	2273	4553
333	2278	4543
334	2284	4534
335	2290	4526
336	2297	4519
337	2302	4509
338	2307	4499
339	2314	4493
340	2320	4484
341	2328	4479
342	2333	4469
343	2339	4461
344	2346	4454
345	2353	4448
346	2361	4443
347	2366	4434
348	2373	4426
349	2380	4421
350	2387	4414
351	2393	4406
352	2401	4400
353	2408	4394
354	2415	4388
355	2423	4383
356	2430	4376
357	2436	4369
358	2442	4361
359	2448	4353
